repository_id,repository_name,full_name,owner_username,owner_type,repository_url,description,primary_language,created_at,updated_at,pushed_at,size_kb,stars_count,watchers_count,forks_count,open_issues_count,default_branch,topics,license_name,homepage,has_issues,has_projects,has_wiki,has_pages,is_fork,is_archived,is_disabled,visibility,repository_age_days,days_since_update,days_since_last_push,created_year,created_month,updated_year,size_mb,repository_type,has_description,activity_status,popularity_score,analysis_as_of_date,has_license,fork_to_star_ratio,issues_per_1000_stars
39464018,superset,apache/superset,apache,Organization,https://github.com/apache/superset,Apache Superset is a Data Visualization and Data Exploration Platform,Python,2015-07-21 18:55:34+00:00,2026-09-09 05:39:54+00:00,2026-09-09 05:39:15+00:00,1132012,74689,74689,18236,591,master,"analytics, apache, apache-superset, asf, bi, business-analytics, business-intelligence, data-analysis, data-analytics, data-engineering, data-science, data-visualization, data-viz, flask, python, react, sql-editor, superset",Apache License 2.0,https://superset.apache.org/,True,True,True,True,False,False,False,public,4073,5,5,2015,July,2026,1105.48,Original,Yes,Active,111161,2026-09-15T00:00:00+00:00,Yes,0.2442,7.91
843222,scikit-learn,scikit-learn/scikit-learn,scikit-learn,Organization,https://github.com/scikit-learn/scikit-learn,scikit-learn: machine learning in Python,Python,2010-08-17 09:43:38+00:00,2026-09-09 02:58:09+00:00,2026-09-08 10:24:38+00:00,187029,67220,67220,27377,2149,main,"data-analysis, data-science, machine-learning, python, statistics","BSD 3-Clause ""New"" or ""Revised"" License",https://scikit-learn.org,True,True,True,False,False,False,False,public,5872,5,6,2010,August,2026,182.65,Original,Yes,Active,121974,2026-09-15T00:00:00+00:00,Yes,0.4073,31.97
974186260,TrendRadar,sansan0/TrendRadar,sansan0,User,https://github.com/sansan0/TrendRadar,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。",Python,2025-04-28 11:42:16+00:00,2026-09-09 06:10:16+00:00,2026-09-03 12:34:00+00:00,32478,62136,62136,24886,59,master,"ai, bark, data-analysis, docker, hot-news, llm, mail, mcp, mcp-server, news, ntfy, python, rss, trending-topics, wechat, wework",GNU General Public License v3.0,https://trendradar.sandev.cc,True,False,False,True,False,False,False,public,504,5,11,2025,April,2026,31.72,Original,Yes,Active,111908,2026-09-15T00:00:00+00:00,Yes,0.4005,0.95
858127,pandas,pandas-dev/pandas,pandas-dev,Organization,https://github.com/pandas-dev/pandas,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more",Python,2010-08-24 01:37:33+00:00,2026-09-09 06:57:15+00:00,2026-09-08 20:53:34+00:00,412077,49705,49705,20358,2730,main,"alignment, data-analysis, data-science, flexible, pandas, python","BSD 3-Clause ""New"" or ""Revised"" License",https://pandas.pydata.org,True,True,False,False,False,False,False,public,5865,5,6,2010,August,2026,402.42,Original,Yes,Active,90421,2026-09-15T00:00:00+00:00,Yes,0.4096,54.92
30203935,metabase,metabase/metabase,metabase,Organization,https://github.com/metabase/metabase,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data :bar_chart:,Clojure,2015-02-02 19:25:47+00:00,2026-09-09 07:01:34+00:00,2026-09-09 06:59:59+00:00,2275696,49146,49146,6801,4386,master,"analytics, bi, business-intelligence, businessintelligence, clojure, dashboard, data, data-analysis, data-visualization, database, metabase, mysql, postgres, postgresql, reporting, slack, sql-editor, visualization",Other,https://metabase.com,True,False,False,False,False,False,False,public,4242,5,5,2015,February,2026,2222.36,Original,Yes,Active,62748,2026-09-15T00:00:00+00:00,Yes,0.1384,89.24
204086862,streamlit,streamlit/streamlit,streamlit,Organization,https://github.com/streamlit/streamlit,Streamlit — A faster way to build and share data apps.,Python,2019-08-24 00:14:52+00:00,2026-09-09 05:58:22+00:00,2026-09-09 04:37:14+00:00,1086195,45718,45718,4376,1170,develop,"data-analysis, data-science, data-visualization, deep-learning, developer-tools, machine-learning, python, streamlit",Apache License 2.0,https://streamlit.io,True,False,False,False,False,False,False,public,2578,5,5,2019,August,2026,1060.74,Original,Yes,Active,54470,2026-09-15T00:00:00+00:00,Yes,0.0957,25.59
1079456184,scientific-agent-skills,K-Dense-AI/scientific-agent-skills,K-Dense-AI,Organization,https://github.com/K-Dense-AI/scientific-agent-skills,"Turn any AI agent into an AI Scientist. The #1 Agent Skills library for science, used by 190,000+ scientists worldwide. 165 ready-to-use validated skills plus 100+ scientific databases covering biology, chemistry, medicine, and drug discovery. Compatible with Cursor, Claude Code, Codex, Pi, Antigravity, and the open Agent Skills standard.",Python,2025-10-19 20:54:15+00:00,2026-09-09 07:00:26+00:00,2026-09-07 09:35:27+00:00,249602,43951,43951,3993,31,main,"agent-skills, ai-scientist, bioinformatics, chemoinformatics, claude, claude-skills, claudecode, clinical-research, computational-biology, data-analysis, drug-discovery, genomics, materials-science, metabolomics, proteomics, scientific-computing, scientific-visualization",MIT License,https://arxiv.org/abs/2609.00065,True,False,False,False,False,False,False,public,330,5,7,2025,October,2026,243.75,Original,Yes,Active,51937,2026-09-15T00:00:00+00:00,Yes,0.0909,0.71
162405963,gradio,gradio-app/gradio,gradio-app,Organization,https://github.com/gradio-app/gradio,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",Python,2018-12-19 08:24:04+00:00,2026-09-09 03:03:05+00:00,2026-09-09 01:51:59+00:00,359297,43494,43494,3591,152,main,"data-analysis, data-science, data-visualization, deep-learning, deploy, gradio, gradio-interface, interface, machine-learning, models, python, python-notebook, ui, ui-components",Apache License 2.0,http://www.gradio.app,True,True,True,False,False,False,False,public,2826,5,5,2018,December,2026,350.88,Original,Yes,Active,50676,2026-09-15T00:00:00+00:00,Yes,0.0826,3.49
822604462,BettaFish,666ghj/BettaFish,666ghj,User,https://github.com/666ghj/BettaFish,微舆：人人可用的多Agent舆情分析助手，打破信息茧房，还原舆情原貌，预测未来走向，辅助决策！从0实现，不依赖任何框架。,Python,2024-07-01 13:11:38+00:00,2026-09-09 05:05:05+00:00,2026-09-04 09:47:38+00:00,192572,42172,42172,7619,5,main,"agent-framework, data-analysis, deep-research, deep-search, llms, multi-agent-system, nlp, public-opinion-analysis, python3, sentiment-analysis",GNU General Public License v2.0,https://deepwiki.com/666ghj/BettaFish,True,True,True,False,False,False,False,public,805,5,10,2024,July,2026,188.06,Original,Yes,Active,57410,2026-09-15T00:00:00+00:00,Yes,0.1807,0.12
344191198,Data-Science-For-Beginners,microsoft/Data-Science-For-Beginners,microsoft,Organization,https://github.com/microsoft/Data-Science-For-Beginners,"10 Weeks, 20 Lessons, Data Science for All!",Jupyter Notebook,2021-03-03 16:30:15+00:00,2026-09-09 05:27:24+00:00,2026-09-07 00:36:02+00:00,1845546,36888,36888,7461,13,main,"data-analysis, data-science, data-visualization, microsoft-for-beginners, pandas, python",MIT License,Not Available,True,False,False,True,False,False,False,public,2021,5,7,2021,March,2026,1802.29,Original,Yes,Active,51810,2026-09-15T00:00:00+00:00,Yes,0.2023,0.35
