repository_id,repository_name,full_name,owner_username,owner_type,repository_url,description,primary_language,created_at,updated_at,pushed_at,size_kb,stars_count,watchers_count,forks_count,open_issues_count,default_branch,topics,license_name,homepage,has_issues,has_projects,has_wiki,has_pages,is_fork,is_archived,is_disabled,visibility
39464018,superset,apache/superset,apache,Organization,https://github.com/apache/superset,Apache Superset is a Data Visualization and Data Exploration Platform,Python,2015-07-21T18:55:34Z,2026-09-15T10:15:08Z,2026-09-15T08:29:08Z,1140079,74766,74766,18274,637,master,"analytics, apache, apache-superset, asf, bi, business-analytics, business-intelligence, data-analysis, data-analytics, data-engineering, data-science, data-visualization, data-viz, flask, python, react, sql-editor, superset",Apache License 2.0,https://superset.apache.org/,True,True,True,True,False,False,False,public
843222,scikit-learn,scikit-learn/scikit-learn,scikit-learn,Organization,https://github.com/scikit-learn/scikit-learn,scikit-learn: machine learning in Python,Python,2010-08-17T09:43:38Z,2026-09-15T10:11:12Z,2026-09-14T23:49:53Z,187590,67258,67258,27400,2160,main,"data-analysis, data-science, machine-learning, python, statistics","BSD 3-Clause ""New"" or ""Revised"" License",https://scikit-learn.org,True,True,True,False,False,False,False,public
974186260,TrendRadar,sansan0/TrendRadar,sansan0,User,https://github.com/sansan0/TrendRadar,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。",Python,2025-04-28T11:42:16Z,2026-09-15T10:05:14Z,2026-09-13T06:38:25Z,32484,62275,62275,24885,58,master,"ai, bark, data-analysis, docker, hot-news, llm, mail, mcp, mcp-server, news, ntfy, python, rss, trending-topics, wechat, wework",GNU General Public License v3.0,https://trendradar.sandev.cc,True,False,False,True,False,False,False,public
858127,pandas,pandas-dev/pandas,pandas-dev,Organization,https://github.com/pandas-dev/pandas,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more",Python,2010-08-24T01:37:33Z,2026-09-15T02:23:12Z,2026-09-15T02:22:19Z,413038,49732,49732,20380,2719,main,"alignment, data-analysis, data-science, flexible, pandas, python","BSD 3-Clause ""New"" or ""Revised"" License",https://pandas.pydata.org,True,True,False,False,False,False,False,public
30203935,metabase,metabase/metabase,metabase,Organization,https://github.com/metabase/metabase,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data :bar_chart:,Clojure,2015-02-02T19:25:47Z,2026-09-15T10:01:46Z,2026-09-15T10:11:29Z,2320481,49265,49265,6821,4355,master,"analytics, bi, business-intelligence, businessintelligence, clojure, dashboard, data, data-analysis, data-visualization, database, metabase, mysql, postgres, postgresql, reporting, slack, sql-editor, visualization",Other,https://metabase.com,True,False,False,False,False,False,False,public
204086862,streamlit,streamlit/streamlit,streamlit,Organization,https://github.com/streamlit/streamlit,Streamlit — A faster way to build and share data apps.,Python,2019-08-24T00:14:52Z,2026-09-15T09:22:36Z,2026-09-15T10:14:53Z,1088635,45756,45756,4376,1168,develop,"data-analysis, data-science, data-visualization, deep-learning, developer-tools, machine-learning, python, streamlit",Apache License 2.0,https://streamlit.io,True,False,False,False,False,False,False,public
1079456184,scientific-agent-skills,K-Dense-AI/scientific-agent-skills,K-Dense-AI,Organization,https://github.com/K-Dense-AI/scientific-agent-skills,"Turn any AI agent into an AI Scientist. The #1 Agent Skills library for science, used by 190,000+ scientists worldwide. 165 ready-to-use validated skills plus 100+ scientific databases covering biology, chemistry, medicine, and drug discovery. Compatible with Cursor, Claude Code, Codex, Pi, Antigravity, and the open Agent Skills standard.",Python,2025-10-19T20:54:15Z,2026-09-15T09:48:06Z,2026-09-14T09:27:38Z,258530,44999,44999,4081,10,main,"agent-skills, ai-scientist, bioinformatics, chemoinformatics, claude, claude-skills, claudecode, clinical-research, computational-biology, data-analysis, drug-discovery, genomics, materials-science, metabolomics, proteomics, scientific-computing, scientific-visualization",MIT License,https://arxiv.org/abs/2609.00065,True,False,False,False,False,False,False,public
162405963,gradio,gradio-app/gradio,gradio-app,Organization,https://github.com/gradio-app/gradio,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",Python,2018-12-19T08:24:04Z,2026-09-15T09:16:20Z,2026-09-15T02:09:41Z,359932,43538,43538,3597,127,main,"data-analysis, data-science, data-visualization, deep-learning, deploy, gradio, gradio-interface, interface, machine-learning, models, python, python-notebook, ui, ui-components",Apache License 2.0,http://www.gradio.app,True,True,True,False,False,False,False,public
822604462,BettaFish,666ghj/BettaFish,666ghj,User,https://github.com/666ghj/BettaFish,微舆：人人可用的多Agent舆情分析助手，打破信息茧房，还原舆情原貌，预测未来走向，辅助决策！从0实现，不依赖任何框架。,Python,2024-07-01T13:11:38Z,2026-09-15T09:56:21Z,2026-09-04T09:47:38Z,192572,42218,42218,7616,5,main,"agent-framework, data-analysis, deep-research, deep-search, llms, multi-agent-system, nlp, public-opinion-analysis, python3, sentiment-analysis",GNU General Public License v2.0,https://deepwiki.com/666ghj/BettaFish,True,True,True,False,False,False,False,public
344191198,Data-Science-For-Beginners,microsoft/Data-Science-For-Beginners,microsoft,Organization,https://github.com/microsoft/Data-Science-For-Beginners,"10 Weeks, 20 Lessons, Data Science for All!",Jupyter Notebook,2021-03-03T16:30:15Z,2026-09-15T10:10:41Z,2026-09-13T21:52:54Z,1846328,36931,36931,7473,18,main,"data-analysis, data-science, data-visualization, microsoft-for-beginners, pandas, python",MIT License,,True,False,False,True,False,False,False,public
74962515,CyberChef,gchq/CyberChef,gchq,Organization,https://github.com/gchq/CyberChef,"The Cyber Swiss Army Knife - a web app for encryption, encoding, compression and data analysis",JavaScript,2016-11-28T10:34:07Z,2026-09-15T03:03:50Z,2026-09-11T16:06:34Z,94478,35842,35842,4142,594,master,"compression, data-analysis, data-manipulation, encoding, encryption, hashing, parsing",Apache License 2.0,https://gchq.github.io/CyberChef,True,False,True,True,False,False,False,public
